# Extracted from 6333-bulb-graph-2023-07-28_1_03-03.jpg which is from Newport Figure 14. Spectral irradiance of various Quartz Tungsten Halogen Lamps.
# No while space allowed after comma and header text below.
# Wavelengths in nanometers, and Irradiance in mW cm² nm⁻¹
Wavelength,Irradiance
299.598, 0.528
302.023, 0.565
304.083, 0.605
306.872, 0.652
309.296, 0.701
311.600, 0.754
313.782, 0.803
315.964, 0.861
318.389, 0.919
320.813, 0.979
323.238, 1.045
325.662, 1.114
328.087, 1.186
330.997, 1.268
332.936, 1.341
335.361, 1.414
337.785, 1.496
340.695, 1.591
343.241, 1.691
345.665, 1.783
348.090, 1.874
349.908, 1.963
352.818, 2.065
355.364, 2.180
357.788, 2.287
360.213, 2.399
362.759, 2.524
366.153, 2.667
368.820, 2.818
372.336, 2.987
375.973, 3.182
379.610, 3.378
383.247, 3.590
386.884, 3.799
390.521, 4.025
394.158, 4.257
397.794, 4.481
401.431, 4.732
405.068, 5.010
409.311, 5.286
412.948, 5.553
416.585, 5.825
419.737, 6.090
423.253, 6.412
427.496, 6.767
431.739, 7.142
435.982, 7.508
440.225, 7.869
445.074, 8.247
450.530, 8.663
455.985, 9.132
460.834, 9.552
465.683, 10.011
470.533, 10.482
475.988, 11.019
481.443, 11.560
486.899, 12.128
492.960, 12.744
499.022, 13.370
505.083, 13.994
511.751, 14.634
519.025, 15.343
526.905, 16.043
535.391, 16.802
544.483, 17.587
554.181, 18.424
564.486, 19.281
575.397, 20.210
586.307, 21.099
598.430, 22.078
611.766, 23.129
625.101, 24.151
638.436, 25.109
651.772, 26.037
665.107, 26.903
678.442, 27.656
691.778, 28.420
705.113, 29.067
718.448, 29.622
731.784, 30.121
745.119, 30.517
758.454, 30.818
771.790, 31.020
785.125, 31.111
798.460, 31.383
811.796, 31.589
825.131, 31.658
838.466, 31.773
851.802, 31.773
865.137, 31.773
878.472, 31.577
891.808, 31.520
905.143, 31.440
918.478, 31.269
931.814, 31.043
945.149, 30.885
958.484, 30.684
971.820, 30.429
985.155, 30.176
998.490, 29.935
1011.826, 29.643
1025.161, 29.311
1038.496, 29.004
1051.832, 28.700
1065.167, 28.317
1078.502, 27.979
1091.838, 27.626
1105.173, 27.237
1118.508, 26.844
1131.844, 26.467
1142.148, 26.140
