# Device: {'path': '/dev/ttyACM0', 'speed': 9600, 'driver': 'u-blox'}
      Date      HMS Lat          Lon            Elev    Speed Nsat Mode  Herr Verr Temp
2023-07-18 03:48:17.100000 28.20970300 -82.36381150    -0.80   0.00    3   3    0.0  23.0 67.680  
2023-07-18 03:48:18.100000 28.20970283 -82.36381167    -0.90   0.00    3   3    0.0  23.0 67.680  
2023-07-18 03:48:19.100000 28.20970267 -82.36381233    -1.00   0.00    3   3    0.0  23.0 67.680  
2023-07-18 03:48:20 28.20970267 -82.36381267    -0.80   0.00    3   3    0.0  23.0 68.218  
2023-07-18 03:48:21 28.20970233 -82.36381283    -1.20   0.00    3   3    0.0  23.0 67.680  
2023-07-18 03:48:22 28.20970250 -82.36381317    -1.50   0.00    3   3    0.0  23.0 68.218  
2023-07-18 03:48:23.100000 28.20970183 -82.36381450    -0.90   0.00    3   3    0.0  23.0 67.680  
2023-07-18 03:48:24.100000 28.20970100 -82.36381567    -1.50   0.00    3   3    0.0  23.0 67.680  
2023-07-18 03:48:25.100000 28.20970033 -82.36381683    -1.40   0.00    3   3    0.0  23.0 67.680  
2023-07-18 03:48:26 28.20969983 -82.36381750    -2.50   0.00    3   3    0.0  23.0 67.680  
2023-07-18 03:48:27 28.20974067 -82.36392650    21.90   0.00    4   3   25.1  44.9 68.218  
2023-07-18 03:48:28 28.20974050 -82.36392083    20.60   0.00    4   3   25.1  44.9 68.756  
2023-07-18 03:48:29.100000 28.20973567 -82.36392600    21.10   0.00    4   3   25.1  44.9 67.680  
2023-07-18 03:48:30.100000 28.20973533 -82.36393217    22.00   0.00    4   3   25.1  44.9 68.218  
2023-07-18 03:48:31.200000 28.20973667 -82.36393133    22.10   0.00    4   3   25.1  44.9 68.218  
2023-07-18 03:48:32 28.20973883 -82.36392917    21.80   0.00    4   3   25.1  44.9 67.680  
2023-07-18 03:48:33 28.20973967 -82.36393067    22.20   0.00    4   3   25.1  44.9 68.756  
2023-07-18 03:48:34.100000 28.20974017 -82.36393150    22.40   0.00    4   3   25.2  44.9 68.756  
2023-07-18 03:48:35.100000 28.20973933 -82.36393267    22.70   0.00    4   3   25.2  44.9 68.756  
2023-07-18 03:48:36 28.20974000 -82.36393350    22.90   0.00    4   3   24.9  44.9 68.218  
2023-07-18 03:48:37 28.20973950 -82.36393633    23.50   0.00    4   3   24.9  44.9 68.756  
2023-07-18 03:48:36.100000 28.20973850 -82.36393850    24.00   0.00    4   3   24.9  44.9 68.218  
2023-07-18 03:48:37.100000 28.20973833 -82.36393917    24.20   0.00    4   3   24.9  44.9 68.756  
2023-07-18 03:48:38.100000 28.20973917 -82.36393783    24.00   0.00    4   3   24.9  44.9 68.756  
2023-07-18 03:48:39 28.20974000 -82.36393683    23.80   0.00    4   3   24.9  44.9 68.756  
2023-07-18 03:48:40 28.20974017 -82.36393667    23.60   0.00    4   3   24.9  44.9 68.756  
2023-07-18 03:48:41 28.20973933 -82.36393767    23.70   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:48:42.100000 28.20973883 -82.36393833    23.70   0.00    4   3   25.0  44.9 69.294  
2023-07-18 03:48:43.100000 28.20973967 -82.36393767    23.50   0.00    4   3   25.0  44.9 69.294  
2023-07-18 03:48:44 28.20974033 -82.36393767    23.40   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:48:45 28.20974200 -82.36393633    23.10   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:48:46 28.20974233 -82.36393683    23.20   0.00    4   3   25.0  44.9 69.294  
2023-07-18 03:48:47.100000 28.20974217 -82.36393883    23.40   0.00    4   3   25.0  44.9 69.294  
2023-07-18 03:48:48.100000 28.20974317 -82.36393900    23.30   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:48:49.100000 28.20974333 -82.36393883    23.10   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:48:50 28.20974400 -82.36393850    23.00   0.00    4   3   25.0  44.9 68.756  
2023-07-18 03:48:51 28.20974483 -82.36393733    22.70   0.00    4   3   25.0  44.9 68.756  
