# Device: {'path': '/dev/ttyACM0', 'speed': 9600, 'driver': 'u-blox'}
      Date      HMS Lat          Lon            Elev    Speed Nsat Mode  Herr Verr Temp
2023-07-18 04:11:40 28.20974850 -82.36394567    39.20   0.03    8   3   11.9  46.7 66.066  
2023-07-18 04:11:41.100000 28.20974833 -82.36394533    39.20   0.00    8   3   11.2  46.7 67.680  
2023-07-18 04:11:42.100000 28.20974783 -82.36394583    39.20   0.00    8   3   11.2  46.7 67.680  
2023-07-18 04:11:43 28.20974767 -82.36394567    39.10   0.05    8   3   11.9  46.7 67.142  
2023-07-18 04:11:44 28.20974717 -82.36394617    39.10   0.06    8   3   11.9  46.7 67.680  
2023-07-18 04:11:45 28.20974700 -82.36394633    38.90   0.04    8   3   11.9  46.7 68.756  
2023-07-18 04:11:46.100000 28.20974700 -82.36394683    38.80   0.00    8   3   11.2  46.7 67.680  
2023-07-18 04:11:47.100000 28.20974683 -82.36394733    38.70   0.00    8   3   11.2  46.7 67.680  
2023-07-18 04:11:48.100000 28.20974650 -82.36394750    38.60   0.00    8   3   11.2  46.7 67.680  
2023-07-18 04:11:49 28.20974733 -82.36394583    38.80   0.02    8   3   11.2  40.5 68.756  
2023-07-18 04:11:50 28.20974800 -82.36394400    39.10   0.03    8   3   11.2  46.7 67.680  
2023-07-18 04:11:51 28.20974800 -82.36394417    39.00   0.06    8   3   11.9  46.7 68.218  
2023-07-18 04:11:52.100000 28.20974717 -82.36394550    38.90   0.00    8   3   11.2  46.7 68.218  
2023-07-18 04:11:53.100000 28.20974650 -82.36394633    38.90   0.00    8   3   11.2  46.7 68.756  
2023-07-18 04:11:54.100000 28.20974633 -82.36394700    39.00   0.00    8   3   11.2  40.5 67.680  
2023-07-18 04:11:55 28.20974617 -82.36394733    39.00   0.03    8   3   11.2  40.5 67.680  
2023-07-18 04:11:56 28.20974567 -82.36394800    39.00   0.04    8   3   11.2  40.5 67.680  
2023-07-18 04:11:57 28.20974600 -82.36394783    38.90   0.03    8   3   11.2  40.5 68.218  
2023-07-18 04:11:58.100000 28.20974583 -82.36394817    38.90   0.00    7   3   14.7  40.7 68.756  
